Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
HYDDiamondPoint,"Partha Dental Clinic - Diamond Point, Secunderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","Opp. Axis Bank, Near Delhi Public School, Sikh road, New Bowenpally, Secunderabad, Telangana 500011",,400,66,389,94,22,0,0,86,1,0,0,0
PDThiruvanmiyur,"Partha Dental Clinic | Thiruvanmiyur, Chennai | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Ramraj cotton, Opp Cotton House, Thiruvanmiyur Signal, Cosmopolitan Colony, Thiruvanmiyur, Chennai, Tamil Nadu 600041",Partha Dental Clinic Thiruvanmiyur,498,111,365,54,12,0,0,63,4,0,0,0
APKakinada,"Partha Dental Clinic – Kakinada | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside II Town Police Station, Main Road, Kakinada, Andhra Pradesh 533001",Partha Dental Clinic - Kakinada,841,101,400,45,58,0,0,74,9,0,0,0
PDMahabubnagar,Partha Dental Clinic - Mahabubnagar | దంత వైద్యశాల | Invisalign Provider,"Near Bhagat Singh Statue, Shetty Complex road, Rajendra Nagar, Mahabubnagar, Telangana 509001",,535,38,390,22,50,0,0,69,9,0,0,0
PDSangareddy,"Partha Dental Clinic - Sangareddy | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal","Besides United Bank of India, Opp. Redla's Inn, Sanjeev Nagar, Sangareddy, Telangana 502001","Partha Dental Clinic, Sangareddy",524,47,438,23,57,0,0,109,2,0,0,0
PDBasaveshwara,"Partha Dental Clinic - Basaveshwara Nagar, | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Kadambi Vidya Kendra School, Opp. Penacea Hospital, 10th Main Road, Basaveshwara Nagar, Bengaluru, Karnataka 560079",,1143,96,453,97,51,0,0,106,14,0,0,0
Gachibowli,Partha Dental Clinic - Gachibowli | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic in Hyderabad,"Above Pizza Hut, Beside Spencer's Super Market, Vinayak Nagar, Gachibowli, Telangana 500032","Partha Dental Clinic - Gachibowli, Hyderabad",1287,253,937,315,78,0,0,173,12,0,0,0
HYDEastMarredpally,"Partha Dental Clinic | Best Dental Clinic in East Marredpally, Secunderabad","Opp. Deccan Club, Entrenchment Road, East Marredpally, Rangareddy, Secunderabad, Telangana 500026",,418,56,545,130,44,0,0,99,1,0,0,0
PDSahakarNagar,"Partha Dental Clinic - Sahakar Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Titan Eye Plus, Opp. SBI Bank, BBMP, Sahakar Nagar, Bengaluru, Karnataka 560092",,1479,87,541,73,35,0,0,53,4,0,0,0
PDKhammam,"Partha Dental Clinic - Khammam | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants Centre","Opp to Rohit test tube baby centre, Above Titan watch showroom, Wyra road, Khammam, Telangana 507001",dental implant and root canal treatment centre,1428,73,385,28,86,0,0,116,16,0,0,0
