Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
HYDDiamondPoint,"Partha Dental Clinic - Diamond Point, Secunderabad | దంత వైద్యశాల | Invisalign Provider | Braces, RCT & Dental Implants","Opp. Axis Bank, Near Delhi Public School, Sikh road, New Bowenpally, Secunderabad, Telangana 500011",,324,54,440,120,16,0,0,70,4,0,0,0
PDThiruvanmiyur,"Partha Dental Clinic | Thiruvanmiyur, Chennai | Invisalign Provider | Braces, Root Canal & Dental Implants","Above Ramraj cotton, Opp Cotton House, Thiruvanmiyur Signal, Cosmopolitan Colony, Thiruvanmiyur, Chennai, Tamil Nadu 600041",Partha Dental Clinic Thiruvanmiyur,439,130,320,65,11,0,0,97,4,0,0,0
APKakinada,"Partha Dental Clinic – Kakinada | దంత వైద్యశాల | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside II Town Police Station, Main Road, Kakinada, Andhra Pradesh 533001",Partha Dental Clinic - Kakinada,778,91,340,52,51,0,0,63,9,0,0,0
PDMahabubnagar,Partha Dental Clinic - Mahabubnagar | దంత వైద్యశాల | Invisalign Provider,"Near Bhagat Singh Statue, Shetty Complex road, Rajendra Nagar, Mahabubnagar, Telangana 509001",,414,23,403,35,43,0,0,41,9,0,0,0
PDSangareddy,"Partha Dental Clinic - Sangareddy | దంత వైద్యశాల |Invisalign Provider | Aligners, Braces, Root Canal","Besides United Bank of India, Opp. Redla's Inn, Sanjeev Nagar, Sangareddy, Telangana 502001","Partha Dental Clinic, Sangareddy",421,49,397,30,46,0,0,57,9,0,0,0
PDBasaveshwara,"Partha Dental Clinic - Basaveshwara Nagar, | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Kadambi Vidya Kendra School, Opp. Penacea Hospital, 10th Main Road, Basaveshwara Nagar, Bengaluru, Karnataka 560079",,1078,172,427,118,45,0,0,100,8,0,0,0
Gachibowli,Partha Dental Clinic - Gachibowli | దంత వైద్యశాల | Invisalign Provider | Best Dental Clinic in Hyderabad,"Above Pizza Hut, Beside Spencer's Super Market, Vinayak Nagar, Gachibowli, Telangana 500032","Partha Dental Clinic - Gachibowli, Hyderabad",1259,280,947,291,60,0,0,112,11,0,0,0
HYDEastMarredpally,"Partha Dental Clinic | Best Dental Clinic in East Marredpally, Secunderabad","Opp. Deccan Club, Entrenchment Road, East Marredpally, Rangareddy, Secunderabad, Telangana 500026",,393,67,582,146,29,0,0,109,4,0,0,0
PDSahakarNagar,"Partha Dental Clinic - Sahakar Nagar, Bangalore | Invisalign Provider | Braces, Root Canal & Dental Implants","Beside Titan Eye Plus, Opp. SBI Bank, BBMP, Sahakar Nagar, Bengaluru, Karnataka 560092",,1352,121,512,110,22,0,0,113,4,0,0,0
PDKhammam,"Partha Dental Clinic - Khammam | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, Root Canal & Dental Implants Centre","Opp to Rohit test tube baby centre, Above Titan watch showroom, Wyra road, Khammam, Telangana 507001",dental implant and root canal treatment centre,1214,51,365,35,56,0,0,82,7,0,0,0
PDKoramangala,"Partha Dental Clinic - Koramangala, Bangalore| Invisalign Provider | Braces, Root Canal & Dental Implants","80 Feet Road, above Mega IT, beside Namdhari Fresh, Koramangala, Bengaluru, Karnataka 560095","Partha Dental Skin Hair Clinic - Koramangala, Beng",618,211,591,217,27,0,0,88,8,0,0,0
PDNandyal,"Partha Dental Clinic – Nandyala | దంత వైద్యశాల | Invisalign Provider | Aligners, Braces, RCT & Implants","Opp. Shankar villas hotel, Near Chandana brothers, Atmakur road, Nandyal, Andhra Pradesh 518501",,621,39,384,31,44,0,0,47,7,0,0,0
HYDDilsukhnagar,Partha Dental Clinic | Dilsukhnagar | Best Dental Clinic in Hyderabad,"Opp. Muthoot Fincorp, Near Shalivahana Hospital, Shalivahana Nagar, Dilsukhnagar, Hyderabad, Telangana 500036","Partha Dental Clinic - Dilsukhnagar, Hyderabad",1006,184,673,210,88,0,0,158,9,0,0,0
